policyKey,layer,value,valueType,scope,notes
l1.intake.documentTypes,1,"supplier_invoice|credit_memo|debit_memo|vendor_statement|tax_forms|bank_change_request|remittance_request|payment_status_inquiry",multiSelect,global,"Comprehensive intake scope"
l1.intake.otherDocumentRule,1,hold_needs_review,singleSelect,global,"Route ambiguous documents to triage"
l1.intake.supplierIdentityVerification,1,accept_flag_unknown,singleSelect,global,"Low-friction with risk controls"
l1.intake.minimumRequiredFields,1,"supplier|invoice_reference|invoice_date|amount_currency|bill_to_entity|attachment|po_number",multiSelect,global,"Minimum required fields"
l1.intake.invoiceUniquenessRule,1,supplier_invoice_number,singleSelect,global,"Duplicate prevention baseline"
l1.intake.lateInvoiceLagDays,1,60,number,global,"Late invoice threshold"
l1.intake.accrualMaterialityThreshold,1,10000,currency,global,"Accrual materiality"
l2.matching.levelByCategory,2,conditional,singleSelect,global,"2-way/3-way by category"
l2.po.tolerance.qty,2,5,percent,global,"Quantity tolerance"
l2.po.tolerance.price,2,3,percent,global,"Price tolerance"
l2.matching.swappedQtyPricePolicy,2,auto_normalize_if_consistent,singleSelect,global,"Handle swapped qty/price edge case"
l2.matching.uomMismatchPolicy,2,convert_using_master,singleSelect,global,"Use conversion master"
l2.matching.hardSoftStopPolicy,2,type_matrix,singleSelect,global,"Type-based stop policy"
l3.nonpo.poRequiredDecisionRule,3,full_policy_matrix,singleSelect,global,"Category+vendor+amount+entity matrix"
l3.nonpo.threshold,3,5000,currency,global,"Non-PO approval threshold"
l3.nonpo.vendorRiskGate,3,yes,singleSelect,global,"High-risk vendor hold"
l3.nonpo.recurringPatternThreshold,3,3,number,global,"PO recommendation trigger"
l3.nonpo.leakageAction,3,hold_route_procurement,singleSelect,global,"Default leakage action"
l4.coding.accountSelectionMethod,4,category_mapping_matrix,singleSelect,global,"COA mapping driven coding"
l4.coding.cogsPolicy,4,allowed_with_controls,singleSelect,global,"COGS requires controls"
l4.coding.capexDecisionRule,4,policy_matrix,singleSelect,global,"Capex based on policy matrix"
l4.coding.capexThreshold,4,5000,currency,global,"Cap threshold"
l4.coding.prepaidRule,4,service_period_beyond_month,singleSelect,global,"Prepaid policy"
l4.coding.prepaidMaterialityThreshold,4,10000,currency,global,"Prepaid threshold"
l4.tax.vatCodeLogic,4,profile_category_jurisdiction,singleSelect,global,"Tax logic"
l4.coding.overrideReasonCodesRequired,4,yes,singleSelect,global,"Override evidence mandatory"
l5.approvals.model,5,mixed,singleSelect,global,"Mixed approval routing"
l5.approvals.escalationHours,5,48,number,global,"Escalation SLA"
l5.approvals.autoReminders,5,"Every 24h until decision",text,global,"Reminder cadence"
l7.integration.erpSystem,7,SAP,singleSelect,global,"Demo defaults to SAP"
l7.integration.masterDataLatency,7,"Near-real-time (<=15 min)",text,global,"Master data latency target"
l7.integration.paymentInterface,7,api,singleSelect,global,"Preferred payment handoff"
l7.erp.sap.version,7,s4hana,singleSelect,global,"SAP S/4HANA"
l7.erp.sap.integrationPattern,7,odata_api,singleSelect,global,"API-first integration"
